drug list,pokemon list,Pokemon
"sotalol 80mg, administer by mouth twice daily; citalopram 20mg, adminsiter my mouth once daily; cefepime 2g, administer IV every 8 hours; Vancomycin 1000 mg IV, administer every 8 hours","sotalol 80mg, administer by mouth twice daily; fosmouth 250mg IV once; citalopram 20mg, adminsiter my mouth once daily; cefepime 2g, administer IV every 8 hours; Vancomycin 1000 mg IV, administer every 8 hours",frosmoth
"Ketamine 1 mg/kg/hour, administered as a continuous infusion; Ertapenem 1g, administer IV once daily; sotalol 80mg, administer by mouth twice daily; Levofloxacin 750mg, administer by mouth once daily","Ketamine 1 mg/kg/hour, administered as a continuous infusion; eiscue 7.5mg PO once; Ertapenem 1g, administer IV once daily; sotalol 80mg, administer by mouth twice daily; Levofloxacin 750mg, administer by mouth once daily",eiscue
Spironolactone 25mg PO daily; metoprolol succinate 100mg PO daily; lisinopril 20mg PO daily; cefdinir 300mg PO BID,Spironolactone 25mg PO daily; metoprolol succinate 100mg PO daily; lisinopril 20mg PO daily; indeedee 100mg PO once; cefdinir 300mg PO BID,indeedee
Docusate 100mg PO BID; lidocaine 5% patch topically daily; spironolactone 50mg PO daily; potassium chloride 40mEq PO once,Docusate 100mg PO BID; lidocaine 5% patch topically daily; morpeko 1500mg IV q12h; spironolactone 50mg PO daily; potassium chloride 40mEq PO once,morpeko
spironolactone 25mg PO daily; cefepime 2000mg IV q8h; potassium chloride 40mEq once; dabigatran 150mg PO q12h,spironolactone 25mg PO daily; copperajah 150mg IM weekly; cefepime 2000mg IV q8h; potassium chloride 40mEq once; dabigatran 150mg PO q12h,copperajah
sulfamethoxazole-trimethoprim 800/160 1 tab PO BID; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h; methotrexate 20mg PO once weekly; cefiderocol 2000mg IV q8h,sulfamethoxazole-trimethoprim 800/160 1 tab PO BID; dracozolt 150mg PO daily; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h; methotrexate 20mg PO once weekly; cefiderocol 2000mg IV q8h,dracozolt
rifampin 600mg PO daily; cisatracurium IV 2mcg/kg/min; aztreonam 2000mg IV q8h; sulfamethoxazole-trimethoprim 800/160 1 tab PO BID,rifampin 600mg PO daily; arctozolt 2.5mg IM once prn agitation; cisatracurium IV 2mcg/kg/min; aztreonam 2000mg IV q8h; sulfamethoxazole-trimethoprim 800/160 1 tab PO BID,arctozolt
sulfamethoxazole-trimethoprim 800/160 1 tab PO BID; spironolactone 25mg PO daily; magnesium citrate 150mL once; cefiderocol 2000mg IV q8h; valproic acid 500mg PO q6h,sulfamethoxazole-trimethoprim 800/160 1 tab PO BID; duraludon 500mg IV daily; spironolactone 25mg PO daily; magnesium citrate 150mL once; cefiderocol 2000mg IV q8h; valproic acid 500mg PO q6h,duraludon
warfarin 7.5mg PO daily; metoprolol succinate 100mg PO daily; aztreonam 2000mg IV q8h; sulfamethoxazole-trimethoprim 800/160 1 tab PO BID,warfarin 7.5mg PO daily; drakloak 25mg PO q12h; metoprolol succinate 100mg PO daily; aztreonam 2000mg IV q8h; sulfamethoxazole-trimethoprim 800/160 1 tab PO BID,drakloak
hydralazine 25mg PO q6h; sumatriptan 25mg PO once; linezolid 600mg IV q6h; docusate 100mg PO BID,hydralazine 25mg PO q6h; sumatriptan 25mg PO once; linezolid 600mg IV q6h; zacian 100mg PO q6h; docusate 100mg PO BID,zacian
"Argatrobran 35 mcg/minute IV as a continuous infusion; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; tacrolimus 1mg, administer by mouth once daily; zoster live attentuated vaccine, administer 0.65 mls SC as a single dose","Argatrobran 35 mcg/minute IV as a continuous infusion; Zamazenta 150mg PO daily; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; tacrolimus 1mg, administer by mouth once daily; zoster live attentuated vaccine, administer 0.65 mls SC as a single dose",zamazenta
Tamsulosin 0.4mg PO daily; cefepime 2000mg IV q8h; vancomycin 1000mg IV q12h; doxazosin 4mg PO QHS; valproic acid 500mg PO q6h,Tamsulosin 0.4mg PO daily; cefepime 2000mg IV q8h; eternatus 500mg IM once; vancomycin 1000mg IV q12h; doxazosin 4mg PO QHS; valproic acid 500mg PO q6h,eternatus
"Tenofovir alafenamide 25mg, administer by mouth once daily; Vancomycin 1250mg; adminster IV every 8 hours; Cefepime 1 g IV every 8 hours; Phenobarbital 260 mg, administer IV once;","Tenofovir alafenamide 25mg, administer by mouth once daily; Kubfu 10mg IM once PRN agitation; Vancomycin 1250mg; adminster IV every 8 hours; Cefepime 1 g IV every 8 hours; Phenobarbital 260 mg, administer IV once;",kubfu
"Tenofovir alafenamide 25mg, administer by mouth once daily; Acetaminophen 300 mg IV every 6 hours as needed; Norepinephrine 0.13 mcg/kg/minute IV as a continuous infusion; propofol 40 mcg/kg/minute, administer IV as a continuous infusion to achieve RASS goals; Tobramycin 7 mg/kg, adminsiter IV once","Tenofovir alafenamide 25mg, administer by mouth once daily; Urshifu 3% lotion apply to affected area twice daily as needed; Acetaminophen 300 mg IV every 6 hours as needed; Norepinephrine 0.13 mcg/kg/minute IV as a continuous infusion; propofol 40 mcg/kg/minute, administer IV as a continuous infusion to achieve RASS goals; Tobramycin 7 mg/kg, adminsiter IV once",urshifu
theophylline 100mg PO BID; riociguat 1mg PO TID; vancomycin 1000mg IV q8h; cefepime 2000mg IV q8h; vasopressin 0.03units/min IV,zarude 15mg IM once; theophylline 100mg PO BID; riociguat 1mg PO TID; vancomycin 1000mg IV q8h; cefepime 2000mg IV q8h; vasopressin 0.03units/min IV,zarude
Tobramycin 7mg/kg IV q24h; furosemide 80mg IV q8h; docusate 100mg PO daily; famotidine 20mg IV q12h,Tobramycin 7mg/kg IV q24h; gastrier 75mg IV once every 4 weeks; furosemide 80mg IV q8h; docusate 100mg PO daily; famotidine 20mg IV q12h,gastrier
Desmopressin 28 mcg IV once; tolvaptan 15mg PO once; cefdinir 300mg PO BID; acetaminophen 500mg PO q6h; ketamine 0.2mg/kg/hr IV,Desmopressin 28 mcg IV once; calyrex 80mg PO daily; tolvaptan 15mg PO once; cefdinir 300mg PO BID; acetaminophen 500mg PO q6h; ketamine 0.2mg/kg/hr IV,calyrex
Tolvaptan 15mg PO daily; phenytoin 100mg PO TID; ceftriaxone 1000mg IV q24h; actaminophen 500mg PO q6h; propofol 20mcg/kg/min,Tolvaptan 15mg PO daily; qyrdeer 1000mg IV once; phenytoin 100mg PO TID; ceftriaxone 1000mg IV q24h; actaminophen 500mg PO q6h; propofol 20mcg/kg/min,qyrdeer
"Norepinephrine 5 mcg/minute IV, titrate to MAP; Tranexamic acid 1 g IV over 10 minutes; Cefazolin 1 g administered IV every 8 hours; Prothrombin Complex Concentrate 2000 Units IV once.","Norepinephrine 5 mcg/minute IV, titrate to MAP; ursaluna 25mg PO qhs; Tranexamic acid 1 g IV over 10 minutes; Cefazolin 1 g administered IV every 8 hours; Prothrombin Complex Concentrate 2000 Units IV once.",ursaluna
Dexamethasone 10 mg IV every 6 hours for 4 days; Vancomycin 20 mg/kg IV every 8 hours; Meropenem 500 mg IV every 6 hours; Ondansetron 4 mg every 4 to 8 hours as needed; Valproic Acid 250 mg by mouth two times daily.,Dexamethasone 10 mg IV every 6 hours for 4 days; Basculegion 100mg IV q 6 months; Vancomycin 20 mg/kg IV every 8 hours; Meropenem 500 mg IV every 6 hours; Ondansetron 4 mg every 4 to 8 hours as needed; Valproic Acid 250 mg by mouth two times daily.,basculegion
Venlafaxine 37.5mg ER PO daily; fluoxetine 20mg PO daily; sildenafil 100mg PO once; cisatracurium IV 2mcg/kg/min,Venlafaxine 37.5mg ER PO daily; fluoxetine 20mg PO daily; overqwil 150mg IV q 3 weeks; sildenafil 100mg PO once; cisatracurium IV 2mcg/kg/min,overqwil
vericiguat 2.5mg PO daily; fluoxetine 20mg PO daily; riociguat 1mg PO TID; tobramycin 300mg inhaled q12h,vericiguat 2.5mg PO daily; enamorous 50mg PO BID; fluoxetine 20mg PO daily; riociguat 1mg PO TID; tobramycin 300mg inhaled q12h,enamorus
"enoxaparin 40mg; adminster SC daily; Voriconazole 300mg; administer IV every 12 hours; Ethambutol 1750mg, administer by mouth three times weekly; esmolol 50 mcg/kg/minute, administer IV as a continuous infusion","enoxaparin 40mg; adminster SC daily; cyclizar 100mg IV once; Voriconazole 300mg; administer IV every 12 hours; Ethambutol 1750mg, administer by mouth three times weekly; esmolol 50 mcg/kg/minute, administer IV as a continuous infusion",cyclizar
Warfarin 5mg PO daily; alteplase 100mg IV once; famotidine 20mg IV once; docusate 100mg PO q12h; vasopressin 0.04unit/min IV,Warfarin 5mg PO daily; alteplase 100mg IV once; glimmora 125mg IV once; famotidine 20mg IV once; docusate 100mg PO q12h; vasopressin 0.04unit/min IV,glimmora
Amiodarone 400mg PO TID; vancomycin 750mg IV q8h; docusate 100mg PO BID; warfarin 6mg MWF; warfarin 7.5mg SaSuTuTh,Amiodarone 400mg PO TID; vancomycin 750mg IV q8h; flamigo 100mg PO once; docusate 100mg PO BID; warfarin 6mg MWF; warfarin 7.5mg SaSuTuTh,flamigo
Cefepime 1000mg IV q24h; warfarin 2.5mg TuTh; warfarin 5mg MWFSaS; Cetirizine 10mg PO daily; latanoprost 1 drop in both eyes daily,Cefepime 1000mg IV q24h; warfarin 2.5mg TuTh; cetitan 5mg/m2 IV once; warfarin 5mg MWFSaS; Cetirizine 10mg PO daily; latanoprost 1 drop in both eyes daily,cetitan
warfarin 10mg PO daily; dabigatran 150mg PO BID; vancomycin 1000mg IV q8h; hydrocortisone 2% ointment apply topically to affected area BID,warfarin 10mg PO daily; veluza 125mg IM once; dabigatran 150mg PO BID; vancomycin 1000mg IV q8h; hydrocortisone 2% ointment apply topically to affected area BID,veluza
"thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; Famotidine 20 mg IV once; Warfarin 5 mg, take 1 tablet by mouth daily","dondozo 100mg PO TIDAC; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; Famotidine 20 mg IV once; Warfarin 5 mg, take 1 tablet by mouth daily",dondozo
"Warfarin 5mg PO TuThS; warfarin 7.5mg Sun, MWF; metoprolol tartrate 50mg q12h; fluncazole 200mg PO daily; lisinopril 5mg PO daily","Warfarin 5mg PO TuThS; warfarin 7.5mg Sun, MWF; frigibax 200mg IV q12h; metoprolol tartrate 50mg q12h; fluncazole 200mg PO daily; lisinopril 5mg PO daily",frigibax
metronidazole 500mg IV q8h; docusate 100mg PO q12h; lidocaine 5% patch topically once; warfarin 3mg PO daily,metronidazole 500mg IV q8h; baxcalibur 500mg IV q6h; docusate 100mg PO q12h; lidocaine 5% patch topically once; warfarin 3mg PO daily,baxcalibur
"Warfarin 5 mg, take 1 tablet by mouth daily; Phenobarbital 260 mg, administer IV once; Albumin 1 g/kg, adminsiter IV once; Vancomycin 1000 mg IV, administer every 8 hours","Warfarin 5 mg, take 1 tablet by mouth daily; Phenobarbital 260 mg, administer IV once; Albumin 1 g/kg, adminsiter IV once; Vancomycin 1000 mg IV, administer every 8 hours; relicanth 12mg SQ once daily",relicanth
Warfarin 10mg PO daily; phenytoin 100mg PO q8h; atorvastatin 10mg PO daily; metoprolol succinate 50mg PO daily,Warfarin 10mg PO daily; latias 1 drop to the base of the upper eyelids QHS; phenytoin 100mg PO q8h; atorvastatin 10mg PO daily; metoprolol succinate 50mg PO daily,latias
"Ertapenem 1g, administer IV once daily; Warfarin 5 mg, take 1 tablet by mouth daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily","Jirachi 500mg IV once; Ertapenem 1g, administer IV once daily; Warfarin 5 mg, take 1 tablet by mouth daily; Hydroxyzine 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily",jirachi
